WADL ID,Batch,IT ID,Unit Cell Type,Mass (g),x_bend (mm),x _stretch (mm),x_vert (mm),x_joint (mm),Energy Absorbed (J),Energy Absorbed per Unit Mass (J/g)
444,13,,Octet,0.83,0.37,0.49,0,0.62,4.12,4.952
445,13,,Octet,0.8,0.28,0.29,0,1.19,3.48,4.382
446,13,"139
148
157",Octet,0.85,0.28,0.56,0,0.77,3.98,4.678
447,13,176,Octet,0.91,0.49,0.33,0,0.34,4.19,4.62
448,13,,Octet,0.85,0.35,0.41,0,0.89,4.07,4.788
449,13,,Octet,0.85,0.41,0.47,0,0.5,4.49,5.261
450,13,,Octet,0.79,0.29,0.38,0,1.07,3.8,4.796
451,13,,Octet,0.81,0.29,0.47,0,0.93,3.86,4.796
452,13,,Octet,0.85,0.39,0.46,0,0.63,4.47,5.23
453,13,,Octet,0.85,0.34,0.45,0,0.84,4.14,4.894
454,13,,Octet,0.83,0.28,0.43,0,1.03,3.72,4.508
455,13,,Octet,0.83,0.32,0.56,0,0.63,3.94,4.755
456,13,,Octet,0.79,0.37,0.38,0,0.87,4.29,5.423
457,13,,Octet,0.78,0.31,0.35,0,1.07,3.58,4.61
458,13,,Octet,0.86,0.5,0.32,0,0.28,4.07,4.743
459,13,,Octet,0.81,0.35,0.42,0,0.87,4.17,5.153
460,13,,Octet,0.8,0.31,0.41,0,0.99,4.13,5.133
461,13,,Octet,0.79,0.3,0.37,0,1.06,3.7,4.691
462,13,,Octet,0.8,0.45,0.34,0,0.64,4.3,5.354
463,13,187,Octet,0.81,0.44,0.37,0,0.62,4.2,5.191
464,13,,Octet,0.79,0.41,0.31,0,0.86,4.33,5.486
465,13,,Octet,0.82,0.51,0.29,0,0.3,3.82,4.664
466,13,,Octet,0.8,0.37,0.51,0,0.56,4.18,5.229
467,13,,Octet,0.76,0.31,0.3,0,1.12,3.56,4.663
468,13,,Octet,0.77,0.29,0.4,0,1.05,3.94,5.1
469,14,,Octet,0.81,0.44,0.44,0,0.42,3.92,4.819
470,14,,Octet,0.82,0.38,0.54,0,0.39,3.94,4.779
471,14,,Octet,0.81,0.34,0.56,0,0.54,3.72,4.598
472,14,3,Octet,0.82,0.48,0.33,0,0.43,4.23,5.155
473,14,,Octet,0.81,0.41,0.48,0,0.44,4.19,5.146
474,14,,Octet,0.8,0.35,0.6,0,0.31,3.65,4.55
475,14,,Octet,0.79,0.39,0.36,0,0.84,3.83,4.839
476,14,,Octet,0.84,0.31,0.55,0,0.7,3.96,4.698
477,14,,Octet,0.82,0.39,0.37,0,0.83,4.12,5.044
478,14,,Octet,0.81,0.29,0.44,0,0.99,3.82,4.697
479,14,,Octet,0.82,0.4,0.45,0,0.61,4.27,5.225
480,14,,Octet,0.78,0.35,0.35,0,0.98,3.76,4.851
481,14,,Octet,0.81,0.39,0.47,0,0.61,4.15,5.149
482,14,,Octet,0.87,0.5,0.3,0,0.36,3.79,4.373
483,14,,Octet,0.83,0.33,0.4,0,0.95,3.69,4.465
484,14,,Octet,0.83,0.32,0.39,0,1,3.75,4.516
485,14,,Octet,0.79,0.35,0.29,0,1.05,3.7,4.686
486,14,,Octet,0.77,0.33,0.46,0,0.85,3.82,4.935
487,14,,Octet,0.8,0.44,0.31,0,0.74,3.79,4.744
488,14,,Octet,0.82,0.41,0.3,0,0.87,4.07,4.99
489,14,,Octet,0.84,0.31,0.49,0,0.84,4.1,4.91
490,14,,Octet,0.85,0.29,0.65,0,0.44,3.9,4.609
491,14,,Octet,0.8,0.29,0.47,0,0.94,3.86,4.855
492,14,,Octet,0.76,0.3,0.33,0,1.11,3.35,4.384
493,14,,Octet,0.8,0.33,0.63,0,0.28,4.02,4.99
494,14,,Octet,0.8,0.36,0.37,0,0.92,3.76,4.714
495,14,,Octet,0.78,0.31,0.33,0,1.09,3.6,4.595
496,14,,Octet,0.8,0.37,0.47,0,0.7,4.07,5.099
497,14,,Octet,0.77,0.36,0.43,0,0.81,3.8,4.911
498,14,,Octet,0.79,0.34,0.62,0,0.27,3.77,4.788
499,14,"96
114
132",Octet,0.8,0.47,0.31,0,0.55,3.52,4.38
500,14,,Octet,0.78,0.31,0.51,0,0.79,3.61,4.603
501,14,,Octet,0.78,0.29,0.54,0,0.79,3.56,4.587
502,14,,Octet,0.78,0.41,0.45,0,0.56,3.85,4.92
503,14,,Octet,0.79,0.44,0.43,0,0.46,4,5.054
504,14,,Octet,0.76,0.33,0.32,0,1.06,3.81,5.005
505,15,,Octet,0.8,0.44,0.44,0,0.42,3.92,4.906
506,15,,Octet,0.79,0.33,0.35,0,1.03,3.8,4.836
507,15,,Octet,0.77,0.3,0.29,0,1.15,3.53,4.609
508,15,,Octet,0.77,0.35,0.43,0,0.85,4.06,5.263
509,15,,Octet,0.77,0.3,0.45,0,0.95,4.11,5.369
510,15,,Octet,0.76,0.29,0.43,0,1,3.83,5.019
511,15,,Octet,0.77,0.32,0.37,0,1.02,3.9,5.087
512,15,,Octet,0.79,0.31,0.38,0,1.03,3.8,4.811
513,15,,Octet,0.83,0.47,0.32,0,0.58,4.1,4.952
514,15,"175
211
214
220
223
229
232",Octet,0.8,0.48,0.28,0,0.56,3.88,4.866
515,15,,Octet,0.77,0.39,0.4,0,0.77,4.43,5.749
516,15,,Octet,0.77,0.33,0.51,0,0.73,4.02,5.247
